Code,Description of Goods
00.00.01.01,"Live horses, asses, mules and hinnies."
01.01.21.00-00,"Live horses, asses, mules and hinnies. - Horses: - Pure-bred breeding animals"
01.01.29.00,"Live horses, asses, mules and hinnies. - Horses: - Other"
01.01.29.00-10,"Live horses, asses, mules and hinnies. - Horses: - Other - For slaughter"
01.01.29.00-20,"Live horses, asses, mules and hinnies. - Horses: - Other - For racing"
01.01.29.00-90,"Live horses, asses, mules and hinnies. - Horses: - Other - Other"
01.01.30.00-00,"Live horses, asses, mules and hinnies. - Asses"
01.01.90.00-00,"Live horses, asses, mules and hinnies. - Other"
00.00.01.02,Live bovine animals.
01.02.21.00,Live bovine animals. - Cattle: - Pure-bred breeding animals
01.02.21.00-10,Live bovine animals. - Cattle: - Pure-bred breeding animals - Dairy
01.02.21.00-90,Live bovine animals. - Cattle: - Pure-bred breeding animals - Other
01.02.29.00,Live bovine animals. - Cattle: - Other
01.02.29.00-10,Live bovine animals. - Cattle: - Other - Dairy
01.02.29.00-90,Live bovine animals. - Cattle: - Other - Other
01.02.31.00-00,Live bovine animals. - Buffalo: - Pure-bred breeding animals
01.02.39.00-00,Live bovine animals. - Buffalo: - Other
01.02.90.00-00,Live bovine animals. - Other
00.00.01.03,Live swine.
01.03.10.00-00,Live swine. - Pure-bred breeding animals
01.03.91.00-00,Live swine. - Other: - Weighing less than 50 kg
01.03.92.00-00,Live swine. - Other: - Weighing 50 kg or more
00.00.01.04,Live sheep and goats.
01.04.10.00,Live sheep and goats. - Sheep
01.04.10.00-10,Live sheep and goats. - Sheep - Pure-bred breeding animals
01.04.10.00-90,Live sheep and goats. - Sheep - Other
01.04.20.00,Live sheep and goats. - Goats
01.04.20.00-10,Live sheep and goats. - Goats - Pure-bred breeding animals
01.04.20.00-90,Live sheep and goats. - Goats - Other
00.00.01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
00.01.05.11,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus"
01.05.11.10-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus - For breeding purposes"
01.05.11.21-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus -  Broilers for domestic production: -  Within access commitment"
01.05.11.22-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus -  Broilers for domestic production: - Over access commitment"
01.05.11.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus - Other"
00.01.05.12,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys"
01.05.12.10-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys - For breeding purposes"
01.05.12.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys - Other"
00.01.05.13,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks"
01.05.13.10-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks - For breeding purposes"
01.05.13.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks - Other"
00.01.05.14,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese"
01.05.14.10-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese - For breeding purposes"
01.05.14.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese - Other"
00.01.05.15,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls"
01.05.15.10-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls
 - For breeding purposes"
01.05.15.90-00,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls
 - Other"
00.01.05.94,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus"
